name,artist,album,albumType,id,explict
Capital Letters,Hailee Steinfeld,Fifty Shades Freed (Original Motion Picture Soundtrack),compilation,6l0Ky2PycJV1Bz88kFeVGL,False
my boy,Billie Eilish,dont smile at me,single,1RGasjWLZ4qMN7wbtkLa3u,False
Without Me,Halsey,Manic,album,6FZDfxM3a3UCqtzo5pxSLZ,True
ocean eyes,Billie Eilish,dont smile at me,single,7hDVYcQq6MxkdJGweuCtl9,False
Smithereens,Twenty One Pilots,Trench,album,5G6Gt9RtNaeIE418pd4yre,False
Let It Be (feat. Veela),Blackmill,Miracle,album,4ChBLndekjzQveHPsn3r6W,False
Vou Morrer Sozinho,Jão,LOBOS,album,1XVN2BVHfKUUcMH0jxSRZ5,False
Motions,MAGIC!,Expectations,album,20X9dTv7DwgE7VWOyzgjXX,False
In My Feelings,Lana Del Rey,Lust For Life,album,269xqcgGTN9PlivhUkOLhX,True
Expectations,MAGIC!,Expectations,album,4f8biBbYF3EGuI7qN8McGj,False
Let Your Hair Down,MAGIC!,Don't Kill the Magic,album,0uQSHrFDVtbQyxNFCwm1EC,False
Rude,MAGIC!,Don't Kill the Magic,album,6RtPijgfPKROxEzTHNRiDp,False
What A Heavenly Way To Die,Troye Sivan,Bloom,album,1Dfzjb9aFxgSFM0vnNTDPr,False
successful,Ariana Grande,Sweetener,album,5YeHLHDdQ4nKHk81XFWhCU,True
Animal,Troye Sivan,Bloom,album,6iBPeFlk4DLJ4HfRfZ2J7H,False
Na Sua Estante,Pitty,Anacrônico,album,1cc0kyZrheNxOYPn3VoVEH,False
Cool for the Summer,Demi Lovato,Confident,album,3uwnnTQcHM1rDqSfA4gQNz,True
Wildfire,Demi Lovato,Confident,album,40MNdK1qPu8kDB0cSI51ds,True
Futura Escuridão,Luizinho Cantor,Tua Vontade em Minha Vida,album,6bSeT5se81k1urD3bQ86Ze,False
Never Be the Same,Camila Cabello,Camila,album,4eWQlBRaTjPPUlzacqEeoQ,False
Summertime,Yellow Claw,New Blood,album,21CBWF1OV9OrAz9votwzVN,False
Downtown Love (feat. John Michael Rouchell),G-Eazy,These Things Happen,album,5lffpGkK5A4SAQdJSfTJso,True
Just Believe,G-Eazy,These Things Happen,album,2QZuuHydaM9b3NCklAKZbS,True
I Mean It (feat. Remo),G-Eazy,These Things Happen,album,6jmTHeoWvBaSrwWttr8Xvu,True
IDGAF,Dua Lipa,Dua Lipa (Deluxe),album,76cy1WJvNGJTj78UqeA5zr,True
Forget Forever,Selena Gomez,Stars Dance (Bonus Track Version),album,7D39d96OheT62fgxoGaElz,False
Unapologetic Bitch,Madonna,Rebel Heart (Deluxe),album,4NXMr3Zbt4eAmgwyc3goLq,True
Ghosttown,Madonna,Rebel Heart (Deluxe),album,4yDLW1kpgN7RGa6wCtxlL8,False
La Isla Bonita,Madonna,True Blue,album,6r8k1vznHrzlEKYxL4dZEe,False
Take A Chance,Flume,Skin,album,4hum5oh7HZCxKh2lhTKjLh,False
One Thing,San Holo,One Thing,single,6Nt8JXqD73iPp1tJLJduaQ,False
One Mississippi,Zara Larsson,So Good,album,7oArXBmMlLCtZdUkXWQZGs,True
Fun,Troye Sivan,TRXYE,single,2VPjeDCsNEyoUXbEwphx1K,False
Guys My Age,Hey Violet,From The Outside,album,0Xm8tw6qikotb8FAOZ2ks7,True
How That Taste,Kehlani,You Should Be Here,album,2A0uPTOfA94mhYDJTWmT9m,True
EASE,Troye Sivan,Blue Neighbourhood (Deluxe),album,7jQFIqN0GnpByBVXPpdPom,True
Close,Nick Jonas,Last Year Was Complicated,album,3lSDIJ2abCrOdDJ6pshUap,False
Don't Matter,Akon,Konvicted,album,7I6DceMT3utDOHjcYCbrr4,True
Let's Get Lost (feat. Devon Baldwin),G-Eazy,These Things Happen,album,5DSr1NMci58MEgS20vivSL,True
Far Alone (feat. E-40 & Jay Ant),G-Eazy,These Things Happen,album,7f1M8ElwbsDozUiWkoAN3I,True
Home with You,Madison Beer,As She Pleases,album,6Z3KPGftGu9ZVvkAY8SaZa,False
Revival,Selena Gomez,Revival (Deluxe),album,5NB5uPFcHGmwfluq9Sqn3j,False
Sick Boy,The Chainsmokers,Sick Boy,album,58kZ9spgxmlEznXGu6FPdQ,False
Rise,Selena Gomez,Revival (Deluxe),album,4RUqWWMnkm0rZebrPikFWI,False
PILLOWTALK,ZAYN,Mind Of Mine (Deluxe Edition),album,0PDUDa38GO8lMxLCRc4lL1,True
With You,Veorra,Gold,single,0rSkCUMx01x0fQWwJjf54b,False
Papercut,Zedd,True Colors,album,62hWYjPL57rbUd5rhvI3Of,False
Strangers,Veorra,Ruby,single,0VlrUeXXJXN3xQN0UV2f03,False
Vision,Hucci,404,album,12hC7U2ZRnRYmiM6MqXq4z,False
Spectrum,Zedd,Clarity,album,1dFkD1JfRMzwO6hwUsE8aS,False
Dreams,The Cranberries,"Everybody Else Is Doing It, So Why Can't We?",album,4JGKZS7h4Qa16gOU3oNETV,False
I Still See Your Face,San Holo,I Still See Your Face,single,1MYif5XuLr1sJ4rw6vvkbT,False
Radio,Lana Del Rey,Born To Die - The Paradise Edition,album,3taCbWWTilb7eNMsAzOBq4,True
Dark Paradise,Lana Del Rey,Born To Die - The Paradise Edition,album,6qqdFWe7C4LsBjWbXQdsHA,False
Blue Jeans,Lana Del Rey,Born To Die - The Paradise Edition,album,4RyK6N4IQ85xxLgguQAFH5,True
Runaway (U & I),Galantis,Pharmacy,album,46lFttIf5hnUZMGvjK0Wxo,False
High Rollin,Jaira Burns,High Rollin,single,756Se0zQWWR5NZC240W8oJ,True
So Far Away (feat. Jamie Scott & Romy Dya),Martin Garrix,So Far Away (feat. Jamie Scott & Romy Dya),single,0OlnLZY4cmQzT6ZGttvWBM,False
Epilogue: Young Forever,BTS,The Most Beautiful Moment in Life: Young Forever,album,6BskTMfDjXVzeqQHOau5Vi,False
MIC Drop (feat. Desiigner) [Steve Aoki Remix],BTS,MIC Drop (feat. Desiigner) [Steve Aoki Remix],single,6XxpvCj3eLWs3lYowSgC4G,False
Love Me Harder,Ariana Grande,My Everything (Deluxe),album,5J4ZkQpzMUFojo1CtAZYpn,False
Homemade Dynamite,Lorde,Melodrama,album,02oAUzv4M0ItuTDy2RT3IT,True
Just Like A Melody From Out Of The Sky,Gene Austin,Carolina Moon,album,3v6qlNTkyKBCdGhywFHRA3,False
Now Or Never,Halsey,hopeless fountain kingdom (Deluxe Plus),album,126oeltvIg79HHP4yAi4rq,False
The One,The Chainsmokers,Memories...Do Not Open,album,0wfbD5rAksdXUzRvMfM3x5,True
Why Try,Ariana Grande,My Everything (Deluxe),album,40fHWRL8bKcl5J4t4OKUiW,False
Waiting For Love - Marshmello Remix,Avicii,Waiting For Love (Remixes),single,4gnvnnm2oYy8IsUZ104wOS,False
Forgetting All About You feat. Blackbear,Phoebe Ryan,Forgetting All About You feat. Blackbear,single,3T6Mtmmx5OfrIUFfpJ1uB1,True
CRZY,Kehlani,SweetSexySavage (Deluxe),album,6Dwtha2FtZFoMEBh5GR2sq,True
Pillow Fight,Galantis,The Aviary,album,3sjoP4LW3hObIGJ6Z95O8b,False
Thunder,Imagine Dragons,Evolve,album,1zB4vmk8tFRmM9UULNzbLB,False
Blood Sweat & Tears,BTS,Wings,album,2u54HNQamwFuOMLSuhSRom,False
Team,Krewella,New World Pt. 1,album,0JBiVOn3I5fRRPrwr4pFBf,True
Blocks,Marshmello,Joytime,album,4wXum3jZgEGLxScTygQ5US,False
Sippy Cup,Melanie Martinez,Cry Baby (Deluxe Edition),album,2e4jB31WcGsxKL1ByqdZCq,True
Killa (feat. Elliphant),Wiwek,The Free & Rebellious,single,5YU0qZXnzIkSHFa0cpcUzO,False
Summit (feat. Ellie Goulding),Skrillex,Bangarang EP,single,1SbqxemPdwGlvmirtQVkCU,False
